,Target Entity,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
0,"Description:Σύρματα + διάφορο,Category:Ferrous,name:9104,full_community_id:442",CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],"['Σύρματα + διάφορο', 'Category']",,,,,,,,,['442'],['9104'],,,,,
1,"Description:Βαρύ για ΣΟΒΕΛ,Category:Ferrous,name:9107,full_community_id:444",CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],"['Βαρύ για ΣΟΒΕΛ', 'Category']",,,,,,,,,['444'],['9107'],,,,,
2,"Description:ζάντες + βαρύ προς shredder κλπ από ΟΤΚΖ,Category:Ferrous,name:9103,full_community_id:441",CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],"['ζάντες + βαρύ προς shredder κλπ από ΟΤΚΖ', 'Category']",,,,,,,,,['441'],['9103'],,,,,
3,"Category:Ferrous,Description:κουτάκι,name:9101,full_community_id:439",CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['κουτάκι'],,,,,,,,,['439'],['9101'],,,,,
4,"Category:Ferrous,Description:άγνωστο,name:9000,full_community_id:438",CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['άγνωστο'],,,,,,,,,['438'],['9000'],,,,,
5,"Category:Ferrous,Description:Βαρέλια,name:9106,full_community_id:443",CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['Βαρέλια'],,,,,,,,,['443'],['9106'],,,,,
6,"Category:Ferrous,Description:λαμαρίνες,name:9102,full_community_id:440",CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['λαμαρίνες'],,,,,,,,,['440'],['9102'],,,,,
7,"name:Magnetic Separation,full_community_id:690",IS_PROCESSED_WITH,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['690'],['Magnetic Separation'],,,,,
8,"name:Shredder,full_community_id:689",IS_PROCESSED_WITH,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['689'],['Shredder'],,,,,
9,"name:Eddy Current Separation,full_community_id:691",IS_PROCESSED_WITH,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['691'],['Eddy Current Separation'],,,,,
