,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
0,CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],"['Σύρματα + διάφορο', 'Category']",,,,,,,,,['442'],['9104'],,,,,
1,CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],"['Βαρύ για ΣΟΒΕΛ', 'Category']",,,,,,,,,['444'],['9107'],,,,,
2,CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],"['ζάντες + βαρύ προς shredder κλπ από ΟΤΚΖ', 'Category']",,,,,,,,,['441'],['9103'],,,,,
3,CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['κουτάκι'],,,,,,,,,['439'],['9101'],,,,,
4,CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['άγνωστο'],,,,,,,,,['438'],['9000'],,,,,
5,CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['Βαρέλια'],,,,,,,,,['443'],['9106'],,,,,
6,CONTAINS,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,['Ferrous'],['λαμαρίνες'],,,,,,,,,['440'],['9102'],,,,,
7,IS_PROCESSED_WITH,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['690'],['Magnetic Separation'],,,,,
8,IS_PROCESSED_WITH,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['689'],['Shredder'],,,,,
9,IS_PROCESSED_WITH,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['691'],['Eddy Current Separation'],,,,,
