,Relationship,full_community_id_src,name_src,Ar_trg,AtomicNumber_trg,Categorisation_trg,Density_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,MeltingPoint_trg,Series_trg,Specifications_trg,Symbol_trg,Title_trg,full_community_id_trg,name_trg
0,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,['Minimum size of 3� (8 cm) in any direction'],['Lithographic Sheets'],"[' ink', 'paper', ' and any other contaminants', ' plastic']",['Aluminum'],,,"['New', ' clean. To consist of 1000 and/or 3000 series alloys', ' uncoated', ' unpainted']",,"['New', ' Clean Aluminum Lithographic Sheets']",['51'],['Tabloid']
1,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Lithographic Sheets'],"['paper', ' excessively inked sheets', ' and any other contaminants', ' plastic']",['Aluminum '],,,['Clean. To consist of 1000 and/or 3000 series alloys'],,['Clean Aluminum Lithographic Sheets'],['50'],['Tablet']
2,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Nonferrous Scrap'],"['Radioactive material', ' or ash', ' dross']",,,,"[' and zinc', 'Shall be made up of a combination of the nonferrous metals – aluminum', ' other segregation technique(s)', ' flotation', ' magnesium', ' tin', ' copper', ' stainless steel', ' screening', ' �Zorba 90� means the material contains approximately 90% nonferrous metal content). May also be screened to permit description by specific size ranges. (Refer also to Zorba under Mixed Metals.)', ' in elemental or alloyed (solid) form. Material generated by eddy current', ' air separation', ' lead', ' nickel', ' or a combination thereof. Shall have passed one or more magnets to reduce or eliminate free iron and/or large iron attachments. Material to be bought/sold under this guideline shall be identified as �Zorba� with a number to follow indicating the estimated percentage nonferrous metal content of the material (e.g.']",,['Shredded Nonferrous Scrap (predominantly aluminum)'],['97'],['Zorba']
3,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Foil'],"['Radar chaff foil', ' laminated foils', ' iron', ' chemically etched foil', ' paper', ' plastic and other non-metallic contaminants']",['Aluminum'],,,"[' 3000 and 8000 series aluminum alloy. Material may be anodized and contain a maximum of 5% organic residue', 'Baled old household aluminum foil and formed foil containers of uncoated 1000']",,['Post Consumer Aluminum Foil'],['79'],['Tesla']
4,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,['Minimum thickness of .015� (.38 mm)'],['Clippings and Solids'],"['Hair wire', ' dirt and other nonmetallic items. Also free from punchings less than 1/2� (1.27 cm) in size.', ' wire screen']",['Aluminum'],,,"['New', ' clean', ' uncoated and unpainted aluminum scrap of one specified aluminum alloy. Oil and grease not to total more than 1%.']",,['Segregated New Aluminum Alloy Clippings and Solids'],['85'],['Tooth']
5,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,"[' Forgings and Extrusions', 'Castings']","['Sawings', ' zinc', ' iron', ' stainless steel', ' oil', ' grease and other non-metallic items', ' dirt']",['Aluminum'],,,"[' and extrusions of one specified alloy only', ' forgings', 'New', ' clean', ' uncoated aluminum castings']",,['null'],['87'],['Tread']
6,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,['Minimum thickness of .015� (.38 mm)'],['Clippings and Solids'],"['Hair wire', ' dirt and other nonmetallic items. Also free from punchings less than 1/2� (1.27 cm) in size.', ' wire screen']",['Aluminum'],,,"['New', ' uncoated and unpainted aluminum scrap of two or more alloys. Oil and grease not to total more than 1%.', ' clean']",,['Mixed New Aluminum Alloy Clippings and Solids'],['86'],['Tough']
7,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Extrusions'],"[' saw chips', ' thermo break', ' and other foreign contamination.', ' cardboard', 'Iron', ' paper', ' zinc corners', ' dirt']",['Aluminum'],,,"['Old extruded aluminum of one alloy', ' typically alloy 6063', ' 6061', ' or 7075']",,['Aluminum Extrusions Dealer Grade'],['73'],['Tutu']
8,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Extrusions'],"[' thermo break', ' felt', ' cardboard', ' iron attachments', ' paper', ' plastic', ' zinc corners', ' and dirt and other contaminants', 'Other alloys of aluminum']",['Aluminum'],,,['Material to consist of new production and old/used 6063 extrusions that may contain up to (but not exceed) 10 percent painted extrusions and 10 percent 6061 alloy extrusions.'],,['Aluminum Extrusions 10/10'],['72'],['Toto']
9,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Cans and clippings '],"[' dirt and other foreign contamination', 'Lids with sealers', ' iron']",['Aluminum '],,,"[' and coated with clear lacquer. Oil not to exceed 1%.', 'Low copper', ' lithographed or not lithographed', ' clean']",,['New Aluminum Can Stock'],['54'],['Take']
