,Relationship,full_community_id_src,name_src,Ar_trg,AtomicNumber_trg,Density_trg,MeltingPoint_trg,Symbol_trg,full_community_id_trg,name_trg
0,IS_COMPOSED_OF,712,C83300,207.2,82,11.29,327.5,Pb,329,LEAD
1,IS_COMPOSED_OF,712,C83300,118.71,50,5.75,231.9,Sn,326,TIN
2,IS_COMPOSED_OF,712,C83300,63.546,29,8.96,1085,Cu,319,COPPER
3,IS_COMPOSED_OF,712,C83300,65.38,30,7.13,419.5,Zn,328,ZINC
4,IS_COMPOSED_OF,712,C83300,65.38,30,7.13,419.5,Zn,328,ZINC
5,IS_COMPOSED_OF,712,C83300,63.546,29,8.96,1085,Cu,319,COPPER
6,IS_COMPOSED_OF,712,C83300,207.2,82,11.29,327.5,Pb,329,LEAD
7,IS_COMPOSED_OF,712,C83300,118.71,50,5.75,231.9,Sn,326,TIN
8,IS_COMPOSED_OF,713,C83400,63.546,29,8.96,1085,Cu,319,COPPER
9,IS_COMPOSED_OF,713,C83400,65.38,30,7.13,419.5,Zn,328,ZINC
10,IS_COMPOSED_OF,713,C83400,65.38,30,7.13,419.5,Zn,328,ZINC
11,IS_COMPOSED_OF,713,C83400,118.71,50,5.75,231.9,Sn,326,TIN
12,IS_COMPOSED_OF,713,C83400,207.2,82,11.29,327.5,Pb,329,LEAD
13,IS_COMPOSED_OF,713,C83400,28.0855,14,2.33,1414,Si,333,SILICON
14,IS_COMPOSED_OF,713,C83400,58.6934,28,8.902,1455,Ni,327,NICKEL
15,IS_COMPOSED_OF,713,C83400,55.845,26,7.874,1538,Fe,321,IRON
16,IS_COMPOSED_OF,713,C83400,26.981539,13,2.7,660.3,Al,322,ALUMINUM
17,IS_COMPOSED_OF,713,C83400,30.973762,15,*,44.1,P,942,PHOSPHORUS 
18,IS_COMPOSED_OF,713,C83400,32.605,16,*,112.8,S,943,SULFUR 
19,IS_COMPOSED_OF,713,C83400,63.546,29,8.96,1085,Cu,319,COPPER
20,IS_COMPOSED_OF,713,C83400,121.76,51,6.631,630.5,Sb,331,ANTIMONY
21,IS_COMPOSED_OF,714,C83410,118.71,50,5.75,231.9,Sn,326,TIN
22,IS_COMPOSED_OF,714,C83410,63.546,29,8.96,1085,Cu,319,COPPER
23,IS_COMPOSED_OF,714,C83410,207.2,82,11.29,327.5,Pb,329,LEAD
24,IS_COMPOSED_OF,714,C83410,55.845,26,7.874,1538,Fe,321,IRON
25,IS_COMPOSED_OF,714,C83410,26.981539,13,2.7,660.3,Al,322,ALUMINUM
26,IS_COMPOSED_OF,714,C83410,118.71,50,5.75,231.9,Sn,326,TIN
27,IS_COMPOSED_OF,714,C83410,65.38,30,7.13,419.5,Zn,328,ZINC
28,IS_COMPOSED_OF,714,C83410,28.0855,14,2.33,1414,Si,333,SILICON
29,IS_COMPOSED_OF,714,C83410,58.6934,28,8.902,1455,Ni,327,NICKEL
30,IS_COMPOSED_OF,714,C83410,63.546,29,8.96,1085,Cu,319,COPPER
31,IS_COMPOSED_OF,715,C83420,118.71,50,5.75,231.9,Sn,326,TIN
32,IS_COMPOSED_OF,715,C83420,63.546,29,8.96,1085,Cu,319,COPPER
33,IS_COMPOSED_OF,715,C83420,65.38,30,7.13,419.5,Zn,328,ZINC
34,IS_COMPOSED_OF,715,C83420,55.845,26,7.874,1538,Fe,321,IRON
35,IS_COMPOSED_OF,715,C83420,118.71,50,5.75,231.9,Sn,326,TIN
36,IS_COMPOSED_OF,715,C83420,63.546,29,8.96,1085,Cu,319,COPPER
37,IS_COMPOSED_OF,715,C83420,207.2,82,11.29,327.5,Pb,329,LEAD
38,IS_COMPOSED_OF,716,C83450,58.6934,28,8.902,1455,Ni,327,NICKEL
39,IS_COMPOSED_OF,716,C83450,65.38,30,7.13,419.5,Zn,328,ZINC
40,IS_COMPOSED_OF,716,C83450,63.546,29,8.96,1085,Cu,319,COPPER
41,IS_COMPOSED_OF,716,C83450,207.2,82,11.29,327.5,Pb,329,LEAD
42,IS_COMPOSED_OF,716,C83450,118.71,50,5.75,231.9,Sn,326,TIN
43,IS_COMPOSED_OF,716,C83450,118.71,50,5.75,231.9,Sn,326,TIN
44,IS_COMPOSED_OF,716,C83450,207.2,82,11.29,327.5,Pb,329,LEAD
45,IS_COMPOSED_OF,716,C83450,63.546,29,8.96,1085,Cu,319,COPPER
46,IS_COMPOSED_OF,716,C83450,121.76,51,6.631,630.5,Sb,331,ANTIMONY
47,IS_COMPOSED_OF,716,C83450,32.605,16,*,112.8,S,943,SULFUR 
48,IS_COMPOSED_OF,716,C83450,65.38,30,7.13,419.5,Zn,328,ZINC
49,IS_COMPOSED_OF,716,C83450,26.981539,13,2.7,660.3,Al,322,ALUMINUM
50,IS_COMPOSED_OF,716,C83450,30.973762,15,*,44.1,P,942,PHOSPHORUS 
51,IS_COMPOSED_OF,716,C83450,58.6934,28,8.902,1455,Ni,327,NICKEL
52,IS_COMPOSED_OF,716,C83450,28.0855,14,2.33,1414,Si,333,SILICON
53,IS_COMPOSED_OF,716,C83450,55.845,26,7.874,1538,Fe,321,IRON
54,IS_COMPOSED_OF,717,C83460,65.38,30,7.13,419.5,Zn,328,ZINC
55,IS_COMPOSED_OF,717,C83460,55.845,26,7.874,1538,Fe,321,IRON
56,IS_COMPOSED_OF,717,C83460,118.71,50,5.75,231.9,Sn,326,TIN
57,IS_COMPOSED_OF,717,C83460,30.973762,15,*,44.1,P,942,PHOSPHORUS 
58,IS_COMPOSED_OF,717,C83460,63.546,29,8.96,1085,Cu,319,COPPER
59,IS_COMPOSED_OF,717,C83460,32.605,16,*,112.8,S,943,SULFUR 
60,IS_COMPOSED_OF,717,C83460,118.71,50,5.75,231.9,Sn,326,TIN
61,IS_COMPOSED_OF,717,C83460,55.845,26,7.874,1538,Fe,321,IRON
62,IS_COMPOSED_OF,717,C83460,28.0855,14,2.33,1414,Si,333,SILICON
63,IS_COMPOSED_OF,717,C83460,58.6934,28,8.902,1455,Ni,327,NICKEL
64,IS_COMPOSED_OF,717,C83460,207.2,82,11.29,327.5,Pb,329,LEAD
65,IS_COMPOSED_OF,717,C83460,26.981539,13,2.7,660.3,Al,322,ALUMINUM
66,IS_COMPOSED_OF,717,C83460,65.38,30,7.13,419.5,Zn,328,ZINC
67,IS_COMPOSED_OF,717,C83460,121.76,51,6.631,630.5,Sb,331,ANTIMONY
68,IS_COMPOSED_OF,718,C83470,63.546,29,8.96,1085,Cu,319,COPPER
69,IS_COMPOSED_OF,718,C83470,65.38,30,7.13,419.5,Zn,328,ZINC
70,IS_COMPOSED_OF,718,C83470,118.71,50,5.75,231.9,Sn,326,TIN
71,IS_COMPOSED_OF,718,C83470,26.981539,13,2.7,660.3,Al,322,ALUMINUM
72,IS_COMPOSED_OF,718,C83470,63.546,29,8.96,1085,Cu,319,COPPER
73,IS_COMPOSED_OF,718,C83470,65.38,30,7.13,419.5,Zn,328,ZINC
74,IS_COMPOSED_OF,718,C83470,207.2,82,11.29,327.5,Pb,329,LEAD
75,IS_COMPOSED_OF,718,C83470,28.0855,14,2.33,1414,Si,333,SILICON
76,IS_COMPOSED_OF,718,C83470,121.76,51,6.631,630.5,Sb,331,ANTIMONY
77,IS_COMPOSED_OF,718,C83470,32.605,16,*,112.8,S,943,SULFUR 
78,IS_COMPOSED_OF,718,C83470,58.6934,28,8.902,1455,Ni,327,NICKEL
79,IS_COMPOSED_OF,718,C83470,118.71,50,5.75,231.9,Sn,326,TIN
80,IS_COMPOSED_OF,718,C83470,30.973762,15,*,44.1,P,942,PHOSPHORUS 
81,IS_COMPOSED_OF,718,C83470,55.845,26,7.874,1538,Fe,321,IRON
