,Relationship,name,full_community_id,Ar,AtomicNumber,Categorisation,Density,Dimensions,Form,Free_of,Material,MeltingPoint,Series,Specifications,Symbol,Title
0,IS_COMPOSED_OF,"['Tabloid', 'Dimensions']",['51'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,"['Minimum size of 3� (8 cm) in any direction', 'Title']","['Lithographic Sheets', 'name']","['paper', ' plastic', ' ink', ' and any other contaminants', 'Categorisation']","['Aluminum', 'full_community_id']",,,"['New', ' clean. To consist of 1000 and/or 3000 series alloys', ' uncoated', ' unpainted', 'Form']",,"['New', ' Clean Aluminum Lithographic Sheets', 'Material']"
1,IS_COMPOSED_OF,"['Tablet', 'Title']",['50'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,,"['Lithographic Sheets', 'name']","['paper', ' plastic', ' excessively inked sheets', ' and any other contaminants', 'Categorisation']","['Aluminum ', 'full_community_id']",,,"['Clean. To consist of 1000 and/or 3000 series alloys', 'Form']",,"['Clean Aluminum Lithographic Sheets', 'Material']"
2,IS_COMPOSED_OF,"['Zorba', 'Title']",['97'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,,"['Nonferrous Scrap', 'name']","['Radioactive material', ' dross', ' or ash', 'Categorisation']",,,,"['Shall be made up of a combination of the nonferrous metals – aluminum', ' copper', ' lead', ' magnesium', ' stainless steel', ' nickel', ' tin', ' and zinc', ' in elemental or alloyed (solid) form. Material generated by eddy current', ' air separation', ' flotation', ' screening', ' other segregation technique(s)', ' or a combination thereof. Shall have passed one or more magnets to reduce or eliminate free iron and/or large iron attachments. Material to be bought/sold under this guideline shall be identified as �Zorba� with a number to follow indicating the estimated percentage nonferrous metal content of the material (e.g.', ' �Zorba 90� means the material contains approximately 90% nonferrous metal content). May also be screened to permit description by specific size ranges. (Refer also to Zorba under Mixed Metals.)', 'Form']",,"['Shredded Nonferrous Scrap (predominantly aluminum)', 'full_community_id']"
3,IS_COMPOSED_OF,"['Tesla', 'Title']",['79'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,,"['Foil', 'name']","['Radar chaff foil', ' chemically etched foil', ' laminated foils', ' iron', ' paper', ' plastic and other non-metallic contaminants', 'Categorisation']","['Aluminum', 'full_community_id']",,,"['Baled old household aluminum foil and formed foil containers of uncoated 1000', ' 3000 and 8000 series aluminum alloy. Material may be anodized and contain a maximum of 5% organic residue', 'Form']",,"['Post Consumer Aluminum Foil', 'Material']"
4,IS_COMPOSED_OF,"['Tooth', 'Dimensions']",['85'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,"['Minimum thickness of .015� (.38 mm)', 'Title']","['Clippings and Solids', 'name']","['Hair wire', ' wire screen', ' dirt and other nonmetallic items. Also free from punchings less than 1/2� (1.27 cm) in size.', 'Categorisation']","['Aluminum', 'full_community_id']",,,"['New', ' clean', ' uncoated and unpainted aluminum scrap of one specified aluminum alloy. Oil and grease not to total more than 1%.', 'Form']",,"['Segregated New Aluminum Alloy Clippings and Solids', 'Material']"
5,IS_COMPOSED_OF,"['Tread', 'Title']",['87'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,,"['Castings', ' Forgings and Extrusions', 'name']","['Sawings', ' stainless steel', ' zinc', ' iron', ' dirt', ' oil', ' grease and other non-metallic items', 'Categorisation']","['Aluminum', 'full_community_id']",,,"['New', ' clean', ' uncoated aluminum castings', ' forgings', ' and extrusions of one specified alloy only', 'Form']",,"['null', 'Material']"
6,IS_COMPOSED_OF,"['Tough', 'Dimensions']",['86'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,"['Minimum thickness of .015� (.38 mm)', 'Title']","['Clippings and Solids', 'name']","['Hair wire', ' wire screen', ' dirt and other nonmetallic items. Also free from punchings less than 1/2� (1.27 cm) in size.', 'Categorisation']","['Aluminum', 'full_community_id']",,,"['New', ' clean', ' uncoated and unpainted aluminum scrap of two or more alloys. Oil and grease not to total more than 1%.', 'Form']",,"['Mixed New Aluminum Alloy Clippings and Solids', 'Material']"
7,IS_COMPOSED_OF,"['Tutu', 'Title']",['73'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,,"['Extrusions', 'name']","['Iron', ' thermo break', ' saw chips', ' zinc corners', ' dirt', ' paper', ' cardboard', ' and other foreign contamination.', 'Categorisation']","['Aluminum', 'full_community_id']",,,"['Old extruded aluminum of one alloy', ' typically alloy 6063', ' 6061', ' or 7075', 'Form']",,"['Aluminum Extrusions Dealer Grade', 'Material']"
8,IS_COMPOSED_OF,"['Toto', 'Title']",['72'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,,"['Extrusions', 'name']","['Other alloys of aluminum', ' zinc corners', ' iron attachments', ' felt', ' plastic', ' paper', ' cardboard', ' thermo break', ' and dirt and other contaminants', 'Categorisation']","['Aluminum', 'full_community_id']",,,"['Material to consist of new production and old/used 6063 extrusions that may contain up to (but not exceed) 10 percent painted extrusions and 10 percent 6061 alloy extrusions.', 'Form']",,"['Aluminum Extrusions 10/10', 'Material']"
9,IS_COMPOSED_OF,"['Take', 'Title']",['54'],,,"['Nonferrous Scrap - Aluminum', 'Specifications']",,,"['Cans and clippings ', 'name']","['Lids with sealers', ' iron', ' dirt and other foreign contamination', 'Categorisation']","['Aluminum ', 'full_community_id']",,,"['Low copper', ' clean', ' lithographed or not lithographed', ' and coated with clear lacquer. Oil not to exceed 1%.', 'Form']",,"['New Aluminum Can Stock', 'Material']"
