,Relationship,name,full_community_id,"""Ar""","""AtomicNumber""","""Density""","""MeltingPoint""","""Symbol""","""full_community_id""","""name"""
0,IS_COMPOSED_OF,C83300,712,327.5,329,82,327.5,207.2,LEAD,Pb
1,IS_COMPOSED_OF,C83300,712,231.9,326,50,231.9,118.71,TIN,Sn
2,IS_COMPOSED_OF,C83300,712,1085,319,29,1085,63.546,COPPER,Cu
3,IS_COMPOSED_OF,C83300,712,419.5,328,30,419.5,65.38,ZINC,Zn
4,IS_COMPOSED_OF,C83300,712,419.5,328,30,419.5,65.38,ZINC,Zn
5,IS_COMPOSED_OF,C83300,712,1085,319,29,1085,63.546,COPPER,Cu
6,IS_COMPOSED_OF,C83300,712,327.5,329,82,327.5,207.2,LEAD,Pb
7,IS_COMPOSED_OF,C83300,712,231.9,326,50,231.9,118.71,TIN,Sn
8,IS_COMPOSED_OF,C83400,713,1085,319,29,1085,63.546,COPPER,Cu
9,IS_COMPOSED_OF,C83400,713,419.5,328,30,419.5,65.38,ZINC,Zn
10,IS_COMPOSED_OF,C83400,713,419.5,328,30,419.5,65.38,ZINC,Zn
11,IS_COMPOSED_OF,C83400,713,231.9,326,50,231.9,118.71,TIN,Sn
12,IS_COMPOSED_OF,C83400,713,327.5,329,82,327.5,207.2,LEAD,Pb
13,IS_COMPOSED_OF,C83400,713,1414,333,14,1414,28.0855,SILICON,Si
14,IS_COMPOSED_OF,C83400,713,1455,327,28,1455,58.6934,NICKEL,Ni
15,IS_COMPOSED_OF,C83400,713,1538,321,26,1538,55.845,IRON,Fe
16,IS_COMPOSED_OF,C83400,713,660.3,322,13,660.3,26.981539,ALUMINUM,Al
17,IS_COMPOSED_OF,C83400,713,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
18,IS_COMPOSED_OF,C83400,713,112.8,943,16,112.8,32.605,SULFUR ,S
19,IS_COMPOSED_OF,C83400,713,1085,319,29,1085,63.546,COPPER,Cu
20,IS_COMPOSED_OF,C83400,713,630.5,331,51,630.5,121.76,ANTIMONY,Sb
