,Relationship,Categorisation_source,Dimensions_source,Form_source,Free_of_source,Material_source,Specifications_source,Title_source,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Category_target,Density_target,EDescription_target,GDescription_target,MeltingPoint_target,Series_target,Symbol_target,full_community_id_target,name_target
0,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,No. 1 Copper Wire,Bare,,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Berry,Copper ,Wire ,,,,,,,,,,COPPER,COPPER
1,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,No. 1 Copper Wire,Bare,,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Berry,Copper ,Wire ,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
2,IS_EQUIVALENT_TO,Nonferrous Scrap - Red Metals,No. 1 Copper Wire,Bare,,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Berry,Copper ,Wire ,,,COPPER SCRAP MILLBERRY CABLES FOR STRIP.,,Non-Ferrous,COPPER SCRAP MILLBERRY CABLES FOR STRIP.,,,,40014,ΣΚΡΑΠ ΚΑΛΩΔΙΩΝ ΧΑΛΚΟΥ Α ΠΡΟΣ ΑΠΟΦΛ.(ΥΛΗ)
3,IS_EQUIVALENT_TO,Nonferrous Scrap - Red Metals,No. 1 Copper Wire,Bare,,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Berry,Copper ,Wire ,,,COPPER SCRAP MILLBERRY AS PER ISRI,,Non-Ferrous,COPPER SCRAP MILLBERRY AS PER ISRI,,,,50018,ΣΚΡΑΠ ΧΑΛΚΟΥ Α1
4,IS_PROCESSED_WITH,Brittle Burnt Wire,No. 1 Copper Wire,Clean,Brittle Burnt Wire,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Barley,Copper ,Wire and Cable ,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
5,IS_COMPOSED_OF,Brittle Burnt Wire,No. 1 Copper Wire,Clean,Brittle Burnt Wire,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Barley,Copper ,Wire and Cable ,,,,,,,,,,COPPER,COPPER
6,IS_EQUIVALENT_TO,Excessively leaded,,Unalloyed,Excessively leaded,No. 2 Copper Wire,Nonferrous Scrap - Red Metals,Birch,Copper ,Miscellaneous,,,COPPER SCRAP BIRCH FROM STRIPPING,,,COPPER SCRAP BIRCH FROM STRIPPING,,,,60004,Non-Ferrous
7,IS_EQUIVALENT_TO,Excessively leaded,,Unalloyed,Excessively leaded,No. 2 Copper Wire,Nonferrous Scrap - Red Metals,Birch,Copper ,Miscellaneous,,,COPPER SCRAP BIRCH CABLES FOR STRIPPING,,Non-Ferrous,COPPER SCRAP BIRCH CABLES FOR STRIPPING,,,,40015,ΣΚΡΑΠ ΚΑΛΩΔΙΩΝ ΧΑΛΚΟΥ Β ΠΡΟΣ ΑΠΟΦΛ.(ΥΛΗ)
8,IS_PROCESSED_WITH,Excessively leaded,,Unalloyed,Excessively leaded,No. 2 Copper Wire,Nonferrous Scrap - Red Metals,Birch,Copper ,Miscellaneous,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
9,IS_COMPOSED_OF,Excessively leaded,,Unalloyed,Excessively leaded,No. 2 Copper Wire,Nonferrous Scrap - Red Metals,Birch,Copper ,Miscellaneous,,,,,,,,,,COPPER,COPPER
