,Relationship,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Categorisation_target,Density_target,Dimensions_target,Form_target,Free_of_target,Material_target,MeltingPoint_target,Series_target,Specifications_target,Symbol_target,Title_target,full_community_id_target,name_target
0,IS_COMPOSED_OF,244,ALUMINUM,,,paper,,Tabloid,New,paper,New,,,Nonferrous Scrap - Aluminum,,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets
1,IS_COMPOSED_OF,244,ALUMINUM,,,paper,,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,,,Nonferrous Scrap - Aluminum,,Tablet,Aluminum ,Lithographic Sheets
2,IS_COMPOSED_OF,244,ALUMINUM,,,Radioactive material,,,Shall be made up of a combination of the nonferrous metals – aluminum,Radioactive material,,,,Nonferrous Scrap - Aluminum,,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap
3,IS_COMPOSED_OF,244,ALUMINUM,,,Radar chaff foil,,,Baled old household aluminum foil and formed foil containers of uncoated 1000,Radar chaff foil,Post Consumer Aluminum Foil,,,Nonferrous Scrap - Aluminum,,Tesla,Aluminum,Foil
4,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,Tooth,New,Hair wire,Segregated New Aluminum Alloy Clippings and Solids,,,Nonferrous Scrap - Aluminum,,Minimum thickness of .015� (.38 mm),Aluminum,Clippings and Solids
5,IS_COMPOSED_OF,244,ALUMINUM,,,Sawings,,,New,Sawings,null,,,Nonferrous Scrap - Aluminum,,Tread,Aluminum,Castings
6,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,Tough,New,Hair wire,Mixed New Aluminum Alloy Clippings and Solids,,,Nonferrous Scrap - Aluminum,,Minimum thickness of .015� (.38 mm),Aluminum,Clippings and Solids
7,IS_COMPOSED_OF,244,ALUMINUM,,,Iron,,,Old extruded aluminum of one alloy,Iron,Aluminum Extrusions Dealer Grade,,,Nonferrous Scrap - Aluminum,,Tutu,Aluminum,Extrusions
8,IS_COMPOSED_OF,244,ALUMINUM,,,Other alloys of aluminum,,,Material to consist of new production and old/used 6063 extrusions that may contain up to (but not exceed) 10 percent painted extrusions and 10 percent 6061 alloy extrusions.,Other alloys of aluminum,Aluminum Extrusions 10/10,,,Nonferrous Scrap - Aluminum,,Toto,Aluminum,Extrusions
9,IS_COMPOSED_OF,244,ALUMINUM,,,Lids with sealers,,,Low copper,Lids with sealers,New Aluminum Can Stock,,,Nonferrous Scrap - Aluminum,,Take,Aluminum ,Cans and clippings 
10,IS_COMPOSED_OF,244,ALUMINUM,,,Corrosion,,,Aluminum scrap which has been sweated or melted into a form or shape such as an ingot,Corrosion,Sweated Aluminum,,,Nonferrous Scrap - Aluminum,,Throb,Aluminum,Aluminum Scrap 
11,IS_COMPOSED_OF,244,ALUMINUM,,,Anodized foil,,,Clean,Anodized foil,New Aluminum Foil,,,Nonferrous Scrap - Aluminum,,Terse,Aluminum,Foil
12,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,,New,Hair wire,New Pure Aluminum Wire and Cable,,,Nonferrous Scrap - Aluminum,,Talon,Aluminum,Wire and Cable 
13,IS_COMPOSED_OF,244,ALUMINUM,,,Plastic coating,,,Clean,Plastic coating,Painted Siding,,,Nonferrous Scrap - Aluminum,,Tale,Aluminum,Siding scrap 
14,IS_COMPOSED_OF,244,ALUMINUM,,,Other wires and cables unless mutually agreed upon,,,Aluminum Conductor Steel Reinforced (ACSR) wire is a combination of steel and aluminum wire,Other wires and cables unless mutually agreed upon,ACSR,,,Nonferrous Scrap - Aluminum,,Trill,Aluminum,Wire
15,IS_COMPOSED_OF,244,ALUMINUM,,,Screening,,,Clean,Screening,E.C. Aluminum Nodules,,,Nonferrous Scrap - Aluminum,,Tall,Aluminum,E.C. 
16,IS_COMPOSED_OF,244,ALUMINUM,,,All inserts,,,Clean,All inserts,Aluminum Auto Truck Wheels,,,Nonferrous Scrap - Aluminum,,Troma,Aluminum,Wheels
17,IS_COMPOSED_OF,244,ALUMINUM,,,Excessively oxidized material,,,The material as received must be dry and not to contain more than 2% free zinc,Excessively oxidized material,Fragmentizer Aircraft Aluminum Scrap (2000 and 7000 series),,,Nonferrous Scrap - Aluminum,,Twirl,Aluminum,Aircraft Scrap
18,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,,New,Hair wire,New Mixed Aluminum Wire and Cable,,,Nonferrous Scrap - Aluminum,,Tann,Aluminum,Wire and Cable 
