,Relationship,name_source,Categorisation_target,Category_target,Description_target,Dimensions_target,EDescription_target,Form_target,Free_of_target,GDescription_target,Material_target,Specifications_target,Title_target,full_community_id_target,name_target
0,IS_PROCESSED_WITH,Pyrometallurgical,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,,,Ebony,,Made of copper,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,,Composition or Red Brass,Nonferrous Scrap - Red Metals,No piece to measure more than 12� over any one part or weigh over 100 lbs.,Red Brass,Valves
1,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,Alloyed with copper,,,Lead-Free Bismuth Brass Turnings,Nonferrous Scrap - Red Metals,Ecstatic,Brass,Scrap borings and turnings
2,IS_PROCESSED_WITH,Pyrometallurgical,brass forgings,,,Ivory,,not to contain more than 15% nickel plated material,brass forgings,,,Nonferrous Scrap - Red Metals,no piece to measure more than 12 inches over any one part,Yellow Brass Castings,Castings in crucible shape 
3,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,Alloyed with copper,,,Leaded Brass Scrap Rod Ends and Forgings,Nonferrous Scrap - Red Metals,Niche,Leaded Brass,Rod ends and forgings
4,IS_PROCESSED_WITH,Pyrometallurgical,Yellow boxes and iron-backed boxes,,,,,Standard unlined and/or sweated railroad boxes and unlined and/or sweated car journal bearings,Yellow boxes and iron-backed boxes,,,Nonferrous Scrap - Red Metals,Fence,Unlined Standard Red Car Boxes (Clean Journals),Red car boxes (clean journals)
5,IS_PROCESSED_WITH,Pyrometallurgical,Plated and soldered materials or pipes with cast brass connections,,,,,To be sound,Plated and soldered materials or pipes with cast brass connections,,Brass Pipe,Nonferrous Scrap - Red Metals,Melon,Brass,Pipe 
6,IS_PROCESSED_WITH,Pyrometallurgical,Aluminum radiators,,,,,Mixed automobile radiators. All radiators to be subject to deduction of actual iron. The tonnage specification should cover the gross weight of the radiators,Aluminum radiators,,,Nonferrous Scrap - Red Metals,Ocean,Mixed Unsweated Auto Radiators,Radiators
7,IS_PROCESSED_WITH,Pyrometallurgical,Insulated wire,,,,,a minimum of 61.3% copper and maximum 5% iron,Insulated wire,,Refinery Brass,Nonferrous Scrap - Red Metals,Drink,Brass,Solids and turnings and alloyed and contaminated copper scrap
8,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,with various types of insulation. To be sold on a sample or recovery basis,,,Insulated Copper Wire Scrap,Nonferrous Scrap - Red Metals,Droid,Copper ,Wire 
9,IS_PROCESSED_WITH,Pyrometallurgical,Brittle Burnt Wire,,,No. 1 Copper Wire,,Clean,Brittle Burnt Wire,,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Barley,Copper ,Wire and Cable 
10,IS_PROCESSED_WITH,Pyrometallurgical,primers and any other foreign material,,,,,Clean. For material to be exported from the United States,primers and any other foreign material,,Brass Shell Cases Without Primers,Nonferrous Scrap - Red Metals,Lace,Brass,Fired 70/30 shell cases
11,IS_PROCESSED_WITH,Pyrometallurgical,bullets,,,,,Clean. For material to be exported from the United States,bullets,,Brass Small Arms and Rifle Shells,Nonferrous Scrap - Red Metals,Lake,Brass,Rifle shells
12,IS_PROCESSED_WITH,Pyrometallurgical,bullets,,,,,Clean muffled. For material to be exported from the United States,bullets,,Brass Small Arms and Rifle Shells,Nonferrous Scrap - Red Metals,Lamb,Brass,Rifle shells
13,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,clean,,,No. 1 Heavy Copper Solids and Tubing,Nonferrous Scrap - Red Metals,Candy,Copper ,Clippings
14,IS_PROCESSED_WITH,Pyrometallurgical,Burnt hair wire; copper clad; plating racks; grindings; copper wire from burning,,,,,Unalloyed. Nominal 92% copper content (minimum 88%),Burnt hair wire; copper clad; plating racks; grindings; copper wire from burning,,Light Copper,Nonferrous Scrap - Red Metals,Dream,Copper ,Miscellaneous scrap
15,IS_PROCESSED_WITH,Pyrometallurgical,Gas cocks,,,,,Clean red and yellow brass,Gas cocks,,Cocks and Faucets,Nonferrous Scrap - Red Metals,Grape,Red Brass/Yellow Brass including chrome or nickel plated,Cocks and Faucets
16,IS_PROCESSED_WITH,Pyrometallurgical,any other foreign material,,,,,Clean.Containing the brass primers. For material to be exported from the United States,any other foreign material,,Brass Shell Cases With Primers,Nonferrous Scrap - Red Metals,Lady,Bras,Fired 70/30 shell cases
17,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,To be sold by sample or analysis,,,null,Nonferrous Scrap - Red Metals,Niece,Nickel Silver,Turnings
18,IS_PROCESSED_WITH,Pyrometallurgical,Manganese-bronze,,,,,Nonferrous Scrap - Red Metals,Manganese-bronze,,Yellow Brass Scrap,,Honey,Yellow brass,Mixed Solids
19,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,It is recommended that these materials be sold on sample or analysis.,,,High Lead Bronze Solids and Borings,Nonferrous Scrap - Red Metals,Elias,Bronze,Solids and Borings
20,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,Alloyed with copper,,,Leaded Brass Scrap Turnings,Nonferrous Scrap - Red Metals,Nascent,Leaded Brass,Borings and turnings
21,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,Should be sold subject to sample or analysis.,,,Red Brass Composition Turnings,Nonferrous Scrap - Red Metals,Enerv,Red Brass,Turnings
22,IS_PROCESSED_WITH,Pyrometallurgical,lined and unlined standard red car boxes.,,,,,Copper content of not less than 75%,lined and unlined standard red car boxes.,,Machinery or Hard Brass Solids,Nonferrous Scrap - Red Metals,Engel,Brass,Solids
23,IS_PROCESSED_WITH,Pyrometallurgical,Aluminum,,,,,Not to contain over 3% of free iron,Aluminum,,Yellow Brass Turnings,Nonferrous Scrap - Red Metals,Nomad,Yellow brass,Turnings
24,IS_PROCESSED_WITH,Pyrometallurgical,Excessive insulation and other non-metallics,,,,,Unalloyed,Excessive insulation and other non-metallics,,Copper Wire Nodules,Nonferrous Scrap - Red Metals,Cocoa,Copper ,Wire scrap nodules
25,IS_PROCESSED_WITH,Pyrometallurgical,Chrome or any other plating material,,,,,New,Chrome or any other plating material,,New Nickel Silver Clippings and Solids,Nonferrous Scrap - Red Metals,Major,Nickel Silver,Clippings
26,IS_PROCESSED_WITH,Pyrometallurgical,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,,,,,Alloyed with copper,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,,Lead-Free Bismuth Brass Solids,Nonferrous Scrap - Red Metals,Ebulent,Brass,Scrap castings
27,IS_PROCESSED_WITH,Pyrometallurgical,Yellow boxes and iron-backed boxes,,,,,Standard babbitt-lined railroad boxes and/or babbitt-lined car journal bearings,Yellow boxes and iron-backed boxes,,,Nonferrous Scrap - Red Metals,Ferry,Lined Standard Red Car Boxes (Lined Journals),Red car boxes (lined journals)
28,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,No. 1 Copper Wire,,Bare,,,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Berry,Copper ,Wire 
29,IS_PROCESSED_WITH,Pyrometallurgical,Excessive corroded material as mutually agreed,,,,,Clean. May be plated or unplated,Excessive corroded material as mutually agreed,,Brass Condenser Tubes,Nonferrous Scrap - Red Metals,Pales,Brass,Condenser tubes
30,IS_PROCESSED_WITH,Pyrometallurgical,Aluminum,,,,,Not to contain over 3% free iron,Aluminum,,Yellow Brass Rod Turnings,Nonferrous Scrap - Red Metals,Night,Yellow brass,Rod turnings (strictly)
31,IS_PROCESSED_WITH,Pyrometallurgical,iron,,,,,Clean,iron,,Yellow Brass Primer,Nonferrous Scrap - Red Metals,Lark,Yellow Brass,Primers
32,IS_PROCESSED_WITH,Pyrometallurgical,Aluminum bronze and silicon bronze.,,,,,Copper content of not less than 55%,Aluminum bronze and silicon bronze.,,Manganese Bronze Solids,Nonferrous Scrap - Red Metals,Parch,Manganese bronze,Solids 
