,Target Entity,Relationship,name,full_community_id
0,"""MeltingPoint"":327.5,""Ar"":207.2,""Symbol"":Pb,""name"":LEAD,""full_community_id"":329,""AtomicNumber"":82,""Density"":11.29",IS_COMPOSED_OF,C83300,712
1,"""MeltingPoint"":231.9,""Ar"":118.71,""Symbol"":Sn,""name"":TIN,""full_community_id"":326,""AtomicNumber"":50,""Density"":5.75",IS_COMPOSED_OF,C83300,712
2,"""MeltingPoint"":1085,""Ar"":63.546,""Symbol"":Cu,""name"":COPPER,""full_community_id"":319,""AtomicNumber"":29,""Density"":8.96",IS_COMPOSED_OF,C83300,712
3,"""MeltingPoint"":419.5,""Ar"":65.38,""Symbol"":Zn,""name"":ZINC,""full_community_id"":328,""AtomicNumber"":30,""Density"":7.13",IS_COMPOSED_OF,C83300,712
4,"""MeltingPoint"":419.5,""Ar"":65.38,""Symbol"":Zn,""name"":ZINC,""full_community_id"":328,""AtomicNumber"":30,""Density"":7.13",IS_COMPOSED_OF,C83300,712
5,"""MeltingPoint"":1085,""Ar"":63.546,""Symbol"":Cu,""name"":COPPER,""full_community_id"":319,""AtomicNumber"":29,""Density"":8.96",IS_COMPOSED_OF,C83300,712
6,"""MeltingPoint"":327.5,""Ar"":207.2,""Symbol"":Pb,""name"":LEAD,""full_community_id"":329,""AtomicNumber"":82,""Density"":11.29",IS_COMPOSED_OF,C83300,712
7,"""MeltingPoint"":231.9,""Ar"":118.71,""Symbol"":Sn,""name"":TIN,""full_community_id"":326,""AtomicNumber"":50,""Density"":5.75",IS_COMPOSED_OF,C83300,712
8,"""MeltingPoint"":1085,""Ar"":63.546,""Symbol"":Cu,""name"":COPPER,""full_community_id"":319,""AtomicNumber"":29,""Density"":8.96",IS_COMPOSED_OF,C83400,713
9,"""MeltingPoint"":419.5,""Ar"":65.38,""Symbol"":Zn,""name"":ZINC,""full_community_id"":328,""AtomicNumber"":30,""Density"":7.13",IS_COMPOSED_OF,C83400,713
10,"""MeltingPoint"":419.5,""Ar"":65.38,""Symbol"":Zn,""name"":ZINC,""full_community_id"":328,""AtomicNumber"":30,""Density"":7.13",IS_COMPOSED_OF,C83400,713
11,"""MeltingPoint"":231.9,""Ar"":118.71,""Symbol"":Sn,""name"":TIN,""full_community_id"":326,""AtomicNumber"":50,""Density"":5.75",IS_COMPOSED_OF,C83400,713
12,"""MeltingPoint"":327.5,""Ar"":207.2,""Symbol"":Pb,""name"":LEAD,""full_community_id"":329,""AtomicNumber"":82,""Density"":11.29",IS_COMPOSED_OF,C83400,713
13,"""MeltingPoint"":1414,""Ar"":28.0855,""Symbol"":Si,""name"":SILICON,""full_community_id"":333,""AtomicNumber"":14,""Density"":2.33",IS_COMPOSED_OF,C83400,713
14,"""MeltingPoint"":1455,""Ar"":58.6934,""Symbol"":Ni,""name"":NICKEL,""full_community_id"":327,""AtomicNumber"":28,""Density"":8.902",IS_COMPOSED_OF,C83400,713
15,"""MeltingPoint"":1538,""Ar"":55.845,""Symbol"":Fe,""name"":IRON,""full_community_id"":321,""AtomicNumber"":26,""Density"":7.874",IS_COMPOSED_OF,C83400,713
16,"""MeltingPoint"":660.3,""Ar"":26.981539,""Symbol"":Al,""name"":ALUMINUM,""full_community_id"":322,""AtomicNumber"":13,""Density"":2.7",IS_COMPOSED_OF,C83400,713
17,"""MeltingPoint"":44.1,""Ar"":30.973762,""Symbol"":P,""name"":PHOSPHORUS ,""full_community_id"":942,""AtomicNumber"":15,""Density"":*",IS_COMPOSED_OF,C83400,713
18,"""MeltingPoint"":112.8,""Ar"":32.605,""Symbol"":S,""name"":SULFUR ,""full_community_id"":943,""AtomicNumber"":16,""Density"":*",IS_COMPOSED_OF,C83400,713
19,"""MeltingPoint"":1085,""Ar"":63.546,""Symbol"":Cu,""name"":COPPER,""full_community_id"":319,""AtomicNumber"":29,""Density"":8.96",IS_COMPOSED_OF,C83400,713
20,"""MeltingPoint"":630.5,""Ar"":121.76,""Symbol"":Sb,""name"":ANTIMONY,""full_community_id"":331,""AtomicNumber"":51,""Density"":6.631",IS_COMPOSED_OF,C83400,713
