,Relationship,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Density_target,MeltingPoint_target,Symbol_target,full_community_id_target,name_target
0,IS_COMPOSED_OF,712,C83300,327.5,329,82,327.5,207.2,LEAD,Pb
1,IS_COMPOSED_OF,712,C83300,231.9,326,50,231.9,118.71,TIN,Sn
2,IS_COMPOSED_OF,712,C83300,1085,319,29,1085,63.546,COPPER,Cu
3,IS_COMPOSED_OF,712,C83300,419.5,328,30,419.5,65.38,ZINC,Zn
4,IS_COMPOSED_OF,712,C83300,419.5,328,30,419.5,65.38,ZINC,Zn
5,IS_COMPOSED_OF,712,C83300,1085,319,29,1085,63.546,COPPER,Cu
6,IS_COMPOSED_OF,712,C83300,327.5,329,82,327.5,207.2,LEAD,Pb
7,IS_COMPOSED_OF,712,C83300,231.9,326,50,231.9,118.71,TIN,Sn
8,IS_COMPOSED_OF,713,C83400,1085,319,29,1085,63.546,COPPER,Cu
9,IS_COMPOSED_OF,713,C83400,419.5,328,30,419.5,65.38,ZINC,Zn
10,IS_COMPOSED_OF,713,C83400,419.5,328,30,419.5,65.38,ZINC,Zn
11,IS_COMPOSED_OF,713,C83400,231.9,326,50,231.9,118.71,TIN,Sn
12,IS_COMPOSED_OF,713,C83400,327.5,329,82,327.5,207.2,LEAD,Pb
13,IS_COMPOSED_OF,713,C83400,1414,333,14,1414,28.0855,SILICON,Si
14,IS_COMPOSED_OF,713,C83400,1455,327,28,1455,58.6934,NICKEL,Ni
15,IS_COMPOSED_OF,713,C83400,1538,321,26,1538,55.845,IRON,Fe
16,IS_COMPOSED_OF,713,C83400,660.3,322,13,660.3,26.981539,ALUMINUM,Al
17,IS_COMPOSED_OF,713,C83400,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
18,IS_COMPOSED_OF,713,C83400,112.8,943,16,112.8,32.605,SULFUR ,S
19,IS_COMPOSED_OF,713,C83400,1085,319,29,1085,63.546,COPPER,Cu
20,IS_COMPOSED_OF,713,C83400,630.5,331,51,630.5,121.76,ANTIMONY,Sb
21,IS_COMPOSED_OF,714,C83410,231.9,326,50,231.9,118.71,TIN,Sn
22,IS_COMPOSED_OF,714,C83410,1085,319,29,1085,63.546,COPPER,Cu
23,IS_COMPOSED_OF,714,C83410,327.5,329,82,327.5,207.2,LEAD,Pb
24,IS_COMPOSED_OF,714,C83410,1538,321,26,1538,55.845,IRON,Fe
25,IS_COMPOSED_OF,714,C83410,660.3,322,13,660.3,26.981539,ALUMINUM,Al
26,IS_COMPOSED_OF,714,C83410,231.9,326,50,231.9,118.71,TIN,Sn
27,IS_COMPOSED_OF,714,C83410,419.5,328,30,419.5,65.38,ZINC,Zn
28,IS_COMPOSED_OF,714,C83410,1414,333,14,1414,28.0855,SILICON,Si
29,IS_COMPOSED_OF,714,C83410,1455,327,28,1455,58.6934,NICKEL,Ni
30,IS_COMPOSED_OF,714,C83410,1085,319,29,1085,63.546,COPPER,Cu
31,IS_COMPOSED_OF,715,C83420,231.9,326,50,231.9,118.71,TIN,Sn
32,IS_COMPOSED_OF,715,C83420,1085,319,29,1085,63.546,COPPER,Cu
33,IS_COMPOSED_OF,715,C83420,419.5,328,30,419.5,65.38,ZINC,Zn
34,IS_COMPOSED_OF,715,C83420,1538,321,26,1538,55.845,IRON,Fe
35,IS_COMPOSED_OF,715,C83420,231.9,326,50,231.9,118.71,TIN,Sn
36,IS_COMPOSED_OF,715,C83420,1085,319,29,1085,63.546,COPPER,Cu
37,IS_COMPOSED_OF,715,C83420,327.5,329,82,327.5,207.2,LEAD,Pb
38,IS_COMPOSED_OF,716,C83450,1455,327,28,1455,58.6934,NICKEL,Ni
39,IS_COMPOSED_OF,716,C83450,419.5,328,30,419.5,65.38,ZINC,Zn
40,IS_COMPOSED_OF,716,C83450,1085,319,29,1085,63.546,COPPER,Cu
41,IS_COMPOSED_OF,716,C83450,327.5,329,82,327.5,207.2,LEAD,Pb
42,IS_COMPOSED_OF,716,C83450,231.9,326,50,231.9,118.71,TIN,Sn
43,IS_COMPOSED_OF,716,C83450,231.9,326,50,231.9,118.71,TIN,Sn
44,IS_COMPOSED_OF,716,C83450,327.5,329,82,327.5,207.2,LEAD,Pb
45,IS_COMPOSED_OF,716,C83450,1085,319,29,1085,63.546,COPPER,Cu
46,IS_COMPOSED_OF,716,C83450,630.5,331,51,630.5,121.76,ANTIMONY,Sb
47,IS_COMPOSED_OF,716,C83450,112.8,943,16,112.8,32.605,SULFUR ,S
48,IS_COMPOSED_OF,716,C83450,419.5,328,30,419.5,65.38,ZINC,Zn
49,IS_COMPOSED_OF,716,C83450,660.3,322,13,660.3,26.981539,ALUMINUM,Al
50,IS_COMPOSED_OF,716,C83450,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
51,IS_COMPOSED_OF,716,C83450,1455,327,28,1455,58.6934,NICKEL,Ni
52,IS_COMPOSED_OF,716,C83450,1414,333,14,1414,28.0855,SILICON,Si
53,IS_COMPOSED_OF,716,C83450,1538,321,26,1538,55.845,IRON,Fe
54,IS_COMPOSED_OF,717,C83460,419.5,328,30,419.5,65.38,ZINC,Zn
55,IS_COMPOSED_OF,717,C83460,1538,321,26,1538,55.845,IRON,Fe
56,IS_COMPOSED_OF,717,C83460,231.9,326,50,231.9,118.71,TIN,Sn
57,IS_COMPOSED_OF,717,C83460,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
58,IS_COMPOSED_OF,717,C83460,1085,319,29,1085,63.546,COPPER,Cu
59,IS_COMPOSED_OF,717,C83460,112.8,943,16,112.8,32.605,SULFUR ,S
60,IS_COMPOSED_OF,717,C83460,231.9,326,50,231.9,118.71,TIN,Sn
61,IS_COMPOSED_OF,717,C83460,1538,321,26,1538,55.845,IRON,Fe
62,IS_COMPOSED_OF,717,C83460,1414,333,14,1414,28.0855,SILICON,Si
63,IS_COMPOSED_OF,717,C83460,1455,327,28,1455,58.6934,NICKEL,Ni
64,IS_COMPOSED_OF,717,C83460,327.5,329,82,327.5,207.2,LEAD,Pb
65,IS_COMPOSED_OF,717,C83460,660.3,322,13,660.3,26.981539,ALUMINUM,Al
66,IS_COMPOSED_OF,717,C83460,419.5,328,30,419.5,65.38,ZINC,Zn
67,IS_COMPOSED_OF,717,C83460,630.5,331,51,630.5,121.76,ANTIMONY,Sb
68,IS_COMPOSED_OF,718,C83470,1085,319,29,1085,63.546,COPPER,Cu
69,IS_COMPOSED_OF,718,C83470,419.5,328,30,419.5,65.38,ZINC,Zn
70,IS_COMPOSED_OF,718,C83470,231.9,326,50,231.9,118.71,TIN,Sn
71,IS_COMPOSED_OF,718,C83470,660.3,322,13,660.3,26.981539,ALUMINUM,Al
72,IS_COMPOSED_OF,718,C83470,1085,319,29,1085,63.546,COPPER,Cu
73,IS_COMPOSED_OF,718,C83470,419.5,328,30,419.5,65.38,ZINC,Zn
74,IS_COMPOSED_OF,718,C83470,327.5,329,82,327.5,207.2,LEAD,Pb
75,IS_COMPOSED_OF,718,C83470,1414,333,14,1414,28.0855,SILICON,Si
76,IS_COMPOSED_OF,718,C83470,630.5,331,51,630.5,121.76,ANTIMONY,Sb
77,IS_COMPOSED_OF,718,C83470,112.8,943,16,112.8,32.605,SULFUR ,S
78,IS_COMPOSED_OF,718,C83470,1455,327,28,1455,58.6934,NICKEL,Ni
79,IS_COMPOSED_OF,718,C83470,231.9,326,50,231.9,118.71,TIN,Sn
80,IS_COMPOSED_OF,718,C83470,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
81,IS_COMPOSED_OF,718,C83470,1538,321,26,1538,55.845,IRON,Fe
82,IS_COMPOSED_OF,719,C83500,419.5,328,30,419.5,65.38,ZINC,Zn
83,IS_COMPOSED_OF,719,C83500,1085,319,29,1085,63.546,COPPER,Cu
84,IS_COMPOSED_OF,719,C83500,231.9,326,50,231.9,118.71,TIN,Sn
85,IS_COMPOSED_OF,719,C83500,1455,327,28,1455,58.6934,NICKEL,Ni
86,IS_COMPOSED_OF,719,C83500,327.5,329,82,327.5,207.2,LEAD,Pb
87,IS_COMPOSED_OF,719,C83500,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
88,IS_COMPOSED_OF,719,C83500,1085,319,29,1085,63.546,COPPER,Cu
89,IS_COMPOSED_OF,719,C83500,231.9,326,50,231.9,118.71,TIN,Sn
90,IS_COMPOSED_OF,719,C83500,660.3,322,13,660.3,26.981539,ALUMINUM,Al
91,IS_COMPOSED_OF,719,C83500,327.5,329,82,327.5,207.2,LEAD,Pb
92,IS_COMPOSED_OF,719,C83500,1538,321,26,1538,55.845,IRON,Fe
93,IS_COMPOSED_OF,719,C83500,1455,327,28,1455,58.6934,NICKEL,Ni
94,IS_COMPOSED_OF,719,C83500,630.5,331,51,630.5,121.76,ANTIMONY,Sb
95,IS_COMPOSED_OF,719,C83500,1414,333,14,1414,28.0855,SILICON,Si
96,IS_COMPOSED_OF,719,C83500,112.8,943,16,112.8,32.605,SULFUR ,S
